Time(Hours),EntityID,ObjectName,ProcessID,StepName,Action
0,--,--,--,--,System initialization completed.
0,--,--,--,--,Time until next event of timer 'Order_Source.EntityArrivals' is '0' Hours.
0,--,--,--,--,Created object 'AGV1[1]'.
0,AGV1[1],AGV1[1],0.OnCreated,[Begin],Process 'AGV1[1].OnCreated' execution started.
0,AGV1[1],AGV1[1],0.OnCreated,[Assign] Num,Assigning state variable 'AGV1[1].NUM' the value '1'. Previous value was '0'.
0,AGV1[1],AGV1[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'AGV1[1].OnEvaluatingRiderReservation.Enabled' the value '1'. Previous value was '1'.
0,AGV1[1],AGV1[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'AGV1[1].OnEvaluatingRiderReservation.ReturnValue' the value '1'. Previous value was '1'.
0,AGV1[1],AGV1[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'AGV1[1].OnEvaluatingSeizeRequest.Enabled' the value '1'. Previous value was '1'.
0,AGV1[1],AGV1[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'AGV1[1].OnEvaluatingSeizeRequest.ReturnValue' the value '1'. Previous value was '1'.
0,AGV1[1],AGV1[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'AGV1[1].OnEvaluatingRiderAtPickup.Enabled' the value '1'. Previous value was '1'.
0,AGV1[1],AGV1[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'AGV1[1].OnEvaluatingRiderAtPickup.ReturnValue' the value '1'. Previous value was '1'.
0,AGV1[1],AGV1[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'AGV1[1].HomeNode' the value 'Idle'. Previous value was 'Nothing'.
0,AGV1[1],AGV1[1],0.OnCreated,[End],Process 'AGV1[1].OnCreated' execution ended.
0,--,--,--,--,Created object 'AGV1[2]'.
0,AGV1[2],AGV1[2],0.OnCreated,[Begin],Process 'AGV1[2].OnCreated' execution started.
0,AGV1[2],AGV1[2],0.OnCreated,[Assign] Num,Assigning state variable 'AGV1[2].NUM' the value '2'. Previous value was '0'.
0,AGV1[2],AGV1[2],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'AGV1[2].OnEvaluatingRiderReservation.Enabled' the value '1'. Previous value was '1'.
0,AGV1[2],AGV1[2],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'AGV1[2].OnEvaluatingRiderReservation.ReturnValue' the value '1'. Previous value was '1'.
0,AGV1[2],AGV1[2],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'AGV1[2].OnEvaluatingSeizeRequest.Enabled' the value '1'. Previous value was '1'.
0,AGV1[2],AGV1[2],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'AGV1[2].OnEvaluatingSeizeRequest.ReturnValue' the value '1'. Previous value was '1'.
0,AGV1[2],AGV1[2],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'AGV1[2].OnEvaluatingRiderAtPickup.Enabled' the value '1'. Previous value was '1'.
0,AGV1[2],AGV1[2],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'AGV1[2].OnEvaluatingRiderAtPickup.ReturnValue' the value '1'. Previous value was '1'.
0,AGV1[2],AGV1[2],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'AGV1[2].HomeNode' the value 'Idle'. Previous value was 'Nothing'.
0,AGV1[2],AGV1[2],0.OnCreated,[End],Process 'AGV1[2].OnCreated' execution ended.
0,--,--,--,--,Created object 'Picker1[1]'.
0,Picker1[1],Picker1[1],0.OnCreated,[Begin],Process 'Picker1[1].OnCreated' execution started.
